region,product,month,revenue
North,Widget,2024-01,25697.13
North,Widget,2024-02,22851.3
North,Widget,2024-03,24355.04
North,Widget,2024-04,24331.64
North,Widget,2024-05,27245.46
North,Widget,2024-06,27203.82
North,Widget,2024-07,28619.54
North,Widget,2024-08,24589.1
North,Widget,2024-09,26648.68
North,Widget,2024-10,24770.86
North,Widget,2024-11,26061.56
North,Widget,2024-12,27921.58
North,Gadget,2024-01,13579.61
North,Gadget,2024-02,14237.48
North,Gadget,2024-03,15760.19
North,Gadget,2024-04,15593.42
North,Gadget,2024-05,14736.33
North,Gadget,2024-06,16046.61
North,Gadget,2024-07,16908.2
North,Gadget,2024-08,14494.73
North,Gadget,2024-09,17236.33
North,Gadget,2024-10,17055.39
North,Gadget,2024-11,16039.94
North,Gadget,2024-12,15581.91
North,Doohickey,2024-01,10914.43
North,Doohickey,2024-02,9769.92
North,Doohickey,2024-03,9370.12
North,Doohickey,2024-04,9472.0
North,Doohickey,2024-05,11129.25
North,Doohickey,2024-06,10728.13
North,Doohickey,2024-07,11267.25
North,Doohickey,2024-08,11213.96
North,Doohickey,2024-09,10907.03
North,Doohickey,2024-10,11971.73
North,Doohickey,2024-11,10777.87
North,Doohickey,2024-12,11272.8
South,Widget,2024-01,10658.81
South,Widget,2024-02,11056.0
South,Widget,2024-03,12507.79
South,Widget,2024-04,12792.0
South,Widget,2024-05,14161.53
South,Widget,2024-06,13358.61
South,Widget,2024-07,15005.16
South,Widget,2024-08,16416.34
South,Widget,2024-09,16953.75
South,Widget,2024-10,18921.74
South,Widget,2024-11,19866.43
South,Widget,2024-12,22281.02
South,Gadget,2024-01,6162.82
South,Gadget,2024-02,6304.82
South,Gadget,2024-03,6816.69
South,Gadget,2024-04,7119.15
South,Gadget,2024-05,7782.5
South,Gadget,2024-06,9585.88
South,Gadget,2024-07,9803.14
South,Gadget,2024-08,10507.38
South,Gadget,2024-09,10375.14
South,Gadget,2024-10,12543.66
South,Gadget,2024-11,12081.52
South,Gadget,2024-12,13652.55
South,Doohickey,2024-01,4391.62
South,Doohickey,2024-02,4440.96
South,Doohickey,2024-03,4718.74
South,Doohickey,2024-04,5224.9
South,Doohickey,2024-05,5815.11
South,Doohickey,2024-06,6201.74
South,Doohickey,2024-07,6003.52
South,Doohickey,2024-08,6213.78
South,Doohickey,2024-09,7130.45
South,Doohickey,2024-10,7624.59
South,Doohickey,2024-11,8136.53
South,Doohickey,2024-12,10152.72
East,Widget,2024-01,18817.29
East,Widget,2024-02,17356.91
East,Widget,2024-03,19142.92
East,Widget,2024-04,18723.56
East,Widget,2024-05,21329.42
East,Widget,2024-06,20120.34
East,Widget,2024-07,19913.31
East,Widget,2024-08,20432.14
East,Widget,2024-09,22440.56
East,Widget,2024-10,21750.04
East,Widget,2024-11,23916.4
East,Widget,2024-12,26151.47
East,Gadget,2024-01,10288.74
East,Gadget,2024-02,10207.89
East,Gadget,2024-03,12247.91
East,Gadget,2024-04,11495.49
East,Gadget,2024-05,10850.93
East,Gadget,2024-06,11069.84
East,Gadget,2024-07,11558.74
East,Gadget,2024-08,13242.83
East,Gadget,2024-09,14078.08
East,Gadget,2024-10,13486.83
East,Gadget,2024-11,12879.3
East,Gadget,2024-12,14190.34
East,Doohickey,2024-01,7694.57
East,Doohickey,2024-02,7251.98
East,Doohickey,2024-03,8125.97
East,Doohickey,2024-04,8201.02
East,Doohickey,2024-05,7108.8
East,Doohickey,2024-06,8473.15
East,Doohickey,2024-07,8662.13
East,Doohickey,2024-08,8672.77
East,Doohickey,2024-09,8453.86
East,Doohickey,2024-10,9390.9
East,Doohickey,2024-11,8676.56
East,Doohickey,2024-12,9563.22
West,Widget,2024-01,29722.34
West,Widget,2024-02,32068.44
West,Widget,2024-03,30977.81
West,Widget,2024-04,26899.58
West,Widget,2024-05,27674.29
West,Widget,2024-06,25374.78
West,Widget,2024-07,28768.41
West,Widget,2024-08,27973.71
West,Widget,2024-09,24494.04
West,Widget,2024-10,25707.53
West,Widget,2024-11,25046.4
West,Widget,2024-12,22354.05
West,Gadget,2024-01,18945.04
West,Gadget,2024-02,17778.93
West,Gadget,2024-03,18250.53
West,Gadget,2024-04,17044.3
West,Gadget,2024-05,14944.26
West,Gadget,2024-06,15698.36
West,Gadget,2024-07,14412.76
West,Gadget,2024-08,16967.3
West,Gadget,2024-09,16473.66
West,Gadget,2024-10,16002.95
West,Gadget,2024-11,14141.12
West,Gadget,2024-12,13138.82
West,Doohickey,2024-01,12907.22
West,Doohickey,2024-02,12811.23
West,Doohickey,2024-03,10569.75
West,Doohickey,2024-04,11262.66
West,Doohickey,2024-05,10114.79
West,Doohickey,2024-06,11412.4
West,Doohickey,2024-07,11195.28
West,Doohickey,2024-08,9643.26
West,Doohickey,2024-09,10158.69
West,Doohickey,2024-10,10104.63
West,Doohickey,2024-11,9344.16
West,Doohickey,2024-12,10324.5
