region,product,month,revenue
North,Widget,2025-01,24274.69
North,Widget,2025-02,23730.68
North,Widget,2025-03,24095.74
North,Widget,2025-04,24943.41
North,Widget,2025-05,28182.63
North,Widget,2025-06,25965.99
North,Widget,2025-07,27220.68
North,Widget,2025-08,29477.95
North,Widget,2025-09,29222.61
North,Widget,2025-10,32171.85
North,Widget,2025-11,30105.4
North,Widget,2025-12,30291.23
North,Gadget,2025-01,16873.61
North,Gadget,2025-02,15876.39
North,Gadget,2025-03,18546.79
North,Gadget,2025-04,17068.61
North,Gadget,2025-05,17460.46
North,Gadget,2025-06,18881.79
North,Gadget,2025-07,17289.42
North,Gadget,2025-08,19561.97
North,Gadget,2025-09,20685.52
North,Gadget,2025-10,19083.31
North,Gadget,2025-11,21910.98
North,Gadget,2025-12,20633.5
North,Gizmo,2025-01,14504.8
North,Gizmo,2025-02,13938.15
North,Gizmo,2025-03,14026.89
North,Gizmo,2025-04,13918.64
North,Gizmo,2025-05,13417.78
North,Gizmo,2025-06,14281.67
North,Gizmo,2025-07,17000.91
North,Gizmo,2025-08,15902.81
North,Gizmo,2025-09,15988.16
North,Gizmo,2025-10,17747.92
North,Gizmo,2025-11,17114.86
North,Gizmo,2025-12,18726.41
South,Widget,2025-01,20110.15
South,Widget,2025-02,19718.74
South,Widget,2025-03,22893.05
South,Widget,2025-04,19880.44
South,Widget,2025-05,22797.78
South,Widget,2025-06,22171.09
South,Widget,2025-07,24095.61
South,Widget,2025-08,24163.56
South,Widget,2025-09,23133.76
South,Widget,2025-10,20543.17
South,Widget,2025-11,20685.68
South,Widget,2025-12,22972.98
South,Gadget,2025-01,14682.28
South,Gadget,2025-02,12770.44
South,Gadget,2025-03,13867.4
South,Gadget,2025-04,13040.94
South,Gadget,2025-05,13814.09
South,Gadget,2025-06,13069.99
South,Gadget,2025-07,14150.03
South,Gadget,2025-08,14864.72
South,Gadget,2025-09,14049.19
South,Gadget,2025-10,15959.84
South,Gadget,2025-11,13888.31
South,Gadget,2025-12,14507.66
South,Gizmo,2025-01,10942.43
South,Gizmo,2025-02,11392.15
South,Gizmo,2025-03,12350.07
South,Gizmo,2025-04,11502.03
South,Gizmo,2025-05,12433.65
South,Gizmo,2025-06,13107.21
South,Gizmo,2025-07,11306.39
South,Gizmo,2025-08,13226.97
South,Gizmo,2025-09,12701.08
South,Gizmo,2025-10,13199.26
South,Gizmo,2025-11,12977.63
South,Gizmo,2025-12,12594.88
East,Widget,2025-01,20684.17
East,Widget,2025-02,20269.59
East,Widget,2025-03,19790.52
East,Widget,2025-04,19211.22
East,Widget,2025-05,18506.87
East,Widget,2025-06,18191.51
East,Widget,2025-07,18970.39
East,Widget,2025-08,19163.38
East,Widget,2025-09,18685.1
East,Widget,2025-10,18289.31
East,Widget,2025-11,15321.8
East,Widget,2025-12,17131.87
East,Gadget,2025-01,14057.86
East,Gadget,2025-02,13305.65
East,Gadget,2025-03,13514.28
East,Gadget,2025-04,13924.72
East,Gadget,2025-05,12078.08
East,Gadget,2025-06,12150.2
East,Gadget,2025-07,12242.44
East,Gadget,2025-08,12901.14
East,Gadget,2025-09,11519.64
East,Gadget,2025-10,11207.47
East,Gadget,2025-11,10775.93
East,Gadget,2025-12,9855.42
East,Gizmo,2025-01,13448.92
East,Gizmo,2025-02,13150.86
East,Gizmo,2025-03,12282.65
East,Gizmo,2025-04,11177.0
East,Gizmo,2025-05,10942.16
East,Gizmo,2025-06,10329.32
East,Gizmo,2025-07,10733.54
East,Gizmo,2025-08,10409.57
East,Gizmo,2025-09,9425.8
East,Gizmo,2025-10,10214.14
East,Gizmo,2025-11,9624.72
East,Gizmo,2025-12,8438.06
West,Widget,2025-01,21980.39
West,Widget,2025-02,22492.67
West,Widget,2025-03,21679.39
West,Widget,2025-04,22986.96
West,Widget,2025-05,26426.61
West,Widget,2025-06,24200.5
West,Widget,2025-07,27394.98
West,Widget,2025-08,31828.84
West,Widget,2025-09,29092.16
West,Widget,2025-10,32132.73
West,Widget,2025-11,36464.16
West,Widget,2025-12,38056.45
West,Gadget,2025-01,14595.44
West,Gadget,2025-02,14586.34
West,Gadget,2025-03,16522.43
West,Gadget,2025-04,15198.3
West,Gadget,2025-05,18054.11
West,Gadget,2025-06,17293.31
West,Gadget,2025-07,19078.51
West,Gadget,2025-08,19849.08
West,Gadget,2025-09,19501.12
West,Gadget,2025-10,22171.5
West,Gadget,2025-11,22947.55
West,Gadget,2025-12,25902.97
West,Gizmo,2025-01,11883.6
West,Gizmo,2025-02,11930.23
West,Gizmo,2025-03,12374.02
West,Gizmo,2025-04,14344.37
West,Gizmo,2025-05,13546.06
West,Gizmo,2025-06,15167.64
West,Gizmo,2025-07,16010.09
West,Gizmo,2025-08,17685.41
West,Gizmo,2025-09,15948.45
West,Gizmo,2025-10,18429.04
West,Gizmo,2025-11,17502.17
West,Gizmo,2025-12,20219.89
